"","plot","spp","dbh","cr","logs"
"1","marq","beech",1.41193011756658,61.9070551281655,"2235555555"
"2","marq","beech",1.83313481610432,40.8461335400816,"2235555555"
"3","marq","beech",1.38598705524963,80.1165243563932,"2235555555"
"4","marq","beech",1.74576670063556,41.797371959233,"2235555555"
"5","marq","beech",0.809588449463283,44.210697612114,"2235555555"
"6","marq","beech",1.26655399669081,45.3787934309251,"2235555555"
"7","marq","beech",1.22569686537631,96.9659133782764,"2235555555"
"8","marq","beech",1.40554021241168,45.6035850477336,"2235555555"
"9","marq","beech",1.48600060228608,23.4388394584837,"2235555555"
"10","marq","beech",1.10077235856809,37.4086908562776,"2235555555"
"11","marq","beech",1.45142269060126,37.3030732885088,"2235555555"
"12","marq","beech",2.59112783907046,54.5042247420945,"2235555555"
"13","marq","beech",1.61137066246677,20.1710871202592,"2235555555"
"14","marq","beech",1.08581314206589,48.5944904946917,"2235555555"
"15","marq","beech",1.55784024194446,61.2087300357332,"2235555555"
"16","marq","beech",1.97849172325785,66.3327772998693,"2235555555"
"17","marq","beech",1.75324969576024,56.4878209334293,"2235555555"
"18","marq","beech",0.920605968600841,63.2067501874765,"2235555555"
"19","marq","beech",1.64310496428572,38.1612445649478,"2235555555"
"20","marq","beech",0.959887605894316,60.278418489058,"2235555555"
"21","marq","beech",1.06792037402145,18.7668432734655,"2235555555"
"22","marq","beech",0.932327259127138,28.8103315952554,"2235555555"
"23","marq","beech",0.923177567685675,36.098320411255,"2235555555"
"24","marq","beech",1.25046678308938,29.6794340176304,"2235555555"
"25","marq","beech",1.73513700425476,32.0701843125981,"2235555555"
"26","marq","beech",0.784123920025167,28.6248452498993,"2235555555"
"27","marq","beech",1.27530741702333,51.0845895048821,"2235555555"
"28","marq","beech",1.72679384139224,46.6829368367959,"2235555555"
"29","marq","beech",1.06777727229565,62.6884840227318,"2235555555"
"30","marq","beech",1.17375802715041,37.9858533578696,"2235555555"
"31","marq","beech",0.786868127284923,64.5292786439496,"2235555555"
"32","marq","beech",1.55126134017353,1,"2235555555"
"33","marq","beech",0.774602878825432,56.817807186719,"2235555555"
"34","marq","beech",0.557193315078115,70.1085636863982,"2235555555"
"35","marq","beech",1.49869924268101,1,"2235555555"
"36","marq","beech",2.34718074393396,53.9733800661396,"2235555555"
"37","marq","beech",1.64825376547787,83.6400217445858,"2235555555"
"38","marq","beech",1.38941041212451,67.2404260785026,"2235555555"
"39","marq","beech",1.28818909286649,60.217782870875,"2235555555"
"40","marq","beech",0.555878928172608,31.8370289569347,"2235555555"
"41","marq","beech",0.929077457816649,52.453509089266,"2235555555"
"42","marq","beech",1.55532898085207,40.07511737378,"2235555555"
"43","marq","hard maple",0.920732325681604,30.9362819440275,"2135555555"
"44","marq","hard maple",0.716680464415517,49.8183915691465,"3522555555"
"45","marq","hard maple",0.664879616720331,67.2408926544928,"2525555555"
"46","marq","hard maple",1.37721106759913,34.2415259460659,"5355555555"
