"stand","plot","tree","spp","dbh","cr","logs","ba","bal","forest_type","site_class","lat","lon","elev","ht","tpa_tree","ba_tree","cutyr","cumsurv","lv","year","lv_mortadj"
1,"marq",1,"beech",3.16822012910134,42.2490187717569,2235555555,166.049681267989,139.934186870144,"Northern hardwood",5,44.441,-74.251,1700,36.6997584138678,24.072,1.31782580111624,110,0.8353505455568,0,25,0
1,"marq",3,"beech",3.85935198333761,69.3979719318529,2235555555,166.081349787397,116.946788989378,"Northern hardwood",5,44.441,-74.251,1700,42.8572159001536,24.072,1.9554921944291,50,0.872846427451392,0,25,0
1,"marq",5,"beech",1.47911672904169,35.0959708523479,2235555555,165.904429513669,164.993113398163,"Northern hardwood",5,44.441,-74.251,1700,31.296230801689,24.072,0.287231592705993,10,0.750279750884352,0,25,0
1,"marq",6,"beech",2.45559477967456,38.9309788049072,2235555555,166.069398590688,152.490669233607,"Northern hardwood",5,44.441,-74.251,1700,33.5577690001003,24.072,0.791663662547993,0,0.7010136588288,0,25,0
1,"marq",8,"beech",2.75546633865152,37.8337832613086,2235555555,166.151977462243,147.989633824461,"Northern hardwood",5,44.441,-74.251,1700,34.7797962630927,24.072,0.996821802382149,60,0.679706550663168,0,25,0
1,"marq",10,"beech",1.88841156664295,26.6452498267284,2235555555,165.963256345982,161.64488030113,"Northern hardwood",5,44.441,-74.251,1700,32.6404348509667,24.072,0.468188359869205,40,0.721149886695168,0,25,0
1,"marq",12,"beech",5.16375045703568,31.3316529319214,2235555555,166.69082841612,87.9105704094532,"Northern hardwood",5,44.441,-74.251,1700,41.8839938074882,24.072,3.50072342937294,70,0.7548716816256,0.0533509018902309,25,0.040273085026121
1,"marq",14,"beech",2.13584160935264,38.370400946475,2235555555,166.001361392322,157.823885515994,"Northern hardwood",5,44.441,-74.251,1700,32.2372404350542,24.072,0.598915281324958,60,0.71839185140736,0,25,0
1,"marq",16,"beech",4.45240324619852,40.9075549719518,2235555555,166.243660047982,102.768957465073,"Northern hardwood",5,44.441,-74.251,1700,43.3278902203362,24.072,2.60265312184901,90,0.842100326106624,0,25,0
1,"marq",17,"beech",3.6819708660827,37.8699195407548,2235555555,166.250936841194,121.403437549336,"Northern hardwood",5,44.441,-74.251,1700,38.6591391592157,24.072,1.77986885616512,0,0.765019276021056,0,25,0
1,"marq",18,"beech",2.00908912042911,47.0290659371221,2235555555,165.945953018993,159.278102405548,"Northern hardwood",5,44.441,-74.251,1700,33.8652179209482,24.072,0.529938792820406,20,0.786294093312,0,25,0
1,"marq",19,"beech",2.98087869782652,30.0829737696452,2235555555,166.420205918995,141.356644566937,"Northern hardwood",5,44.441,-74.251,1700,37.3683151220375,24.072,1.16658373026985,100,0.4963893846912,0,25,0
1,"marq",20,"beech",2.00871724096879,45.3932469770261,2235555555,165.966392603361,159.978834587737,"Northern hardwood",5,44.441,-74.251,1700,33.0247043410675,24.072,0.529742629184577,50,0.74763096792384,0,25,0
1,"marq",23,"beech",1.51523787305504,24.7601047085607,2235555555,165.916213102349,164.568870934011,"Northern hardwood",5,44.441,-74.251,1700,31.7554357540613,24.072,0.301431713368743,90,0.722951733805056,0,25,0
1,"marq",28,"beech",3.39186185088638,36.2903623658431,2235555555,166.347211628525,129.188900930381,"Northern hardwood",5,44.441,-74.251,1700,37.5193380078215,24.072,1.5104404894052,40,0.659364494431104,0,25,0
1,"marq",29,"beech",2.33274690613296,47.2759776215624,2235555555,165.946542958444,154.408132766665,"Northern hardwood",5,44.441,-74.251,1700,33.9414453936745,24.072,0.714434720613628,50,0.840655855076352,0,25,0
1,"marq",30,"beech",2.04776477783578,28.7307821515379,2235555555,166.024402430249,158.919264683226,"Northern hardwood",5,44.441,-74.251,1700,33.6174558403709,24.072,0.550538183787076,110,0.65179443114,0,25,0
1,"marq",33,"beech",1.52169905480665,41.6405503350475,2235555555,165.905841706225,164.338002784997,"Northern hardwood",5,44.441,-74.251,1700,31.4104369103542,24.072,0.30400788645398,30,0.759414999744,0,25,0
1,"marq",34,"beech",1.59530072863001,53.9710196690028,2235555555,165.89292281768,163.809510707637,"Northern hardwood",5,44.441,-74.251,1700,35.4959890293581,24.072,0.334127664795266,40,0.819766947664896,0,25,0
1,"marq",36,"beech",4.68976900819764,32.5084437835723,2235555555,166.530985574615,97.412983108275,"Northern hardwood",5,44.441,-74.251,1700,40.4681695379306,24.072,2.88755465351391,20,0.758174756976,0,25,0
1,"marq",37,"beech",4.52316584198594,70.1623410759444,2235555555,166.283022247485,100.533238637874,"Northern hardwood",5,44.441,-74.251,1700,45.2861099000864,24.072,2.68603910589973,120,0.83234783227392,0,25,0
1,"marq",40,"beech",0.976715621345143,13.6557765916535,2235555555,165.901774454366,165.771734339494,"Northern hardwood",5,44.441,-74.251,1700,29.5944612393674,24.072,0.125245916726668,80,0.4485050899296,0,25,0
1,"marq",41,"beech",1.79065006794248,38.5678479424351,2235555555,165.94181874786,162.609595102525,"Northern hardwood",5,44.441,-74.251,1700,31.03129597349,24.072,0.420967681412726,90,0.74079535343616,0,25,0
1,"marq",42,"beech",2.91582284292706,32.8550842860635,2235555555,166.339816628648,143.965873683893,"Northern hardwood",5,44.441,-74.251,1700,36.1904320368588,24.072,1.11621942549782,100,0.545685509246976,0,25,0
